name,name_original,amenity,shop,tourism,@lat,@lon
Zubaida Kids Store,Zubaida Kids Store,,clothes,,24.8212357,67.0346819
Pizza Hut,Pizza Hut,restaurant,,,24.8178494,67.0396574
New York Coffee,New York Coffee,cafe,,,24.8177641,67.0399202
Buttlers Chocolate Cafe,Buttlers Chocolate Cafe,cafe,,,24.8171446,67.041009
Ami Supermarket,Ami Supermarket,,supermarket,,24.8137847,67.0486284
Meat One,Meat One,,butcher,,24.8135285,67.048231
Dubai Islamic Bank,دبئی اسلامی بینک,bank,,,24.8283035,67.0341218
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.8268362,67.0346718
Food Center Clifton,Food Center Clifton,restaurant,,,24.8264257,67.0343934
Filli Tea Cafe,Filli Tea Cafe,cafe,,,24.827021,67.0355524
Dunkin',Dunkin',fast_food,,,24.8274432,67.0359542
Nando,Nando,restaurant,,,24.8272933,67.0244863
Shell Express,Shell Express,fuel,,,24.8303343,67.0346524
Dubai Islamic Bank,دبئی اسلامی بینک,bank,,,24.8080857,67.036603
Pakistan State Oil - Tauheed Commercial,Pakistan State Oil - Tauheed Commercial,fuel,,,24.8079508,67.0368399
Movenpick Ice-cream Parl,Movenpick Ice-cream Parl,ice_cream,,,24.8063725,67.0393296
Ideal Bakers,Ideal Bakers,,bakery,,24.8062887,67.0394741
Parklane Hospital,Parklane Hospital,hospital,,,24.8167004,67.0314159
Parklane Pharmacy,Parklane Pharmacy,pharmacy,,,24.8167846,67.0312906
Car Deals,Car Deals,,car,,24.8255389,67.034896
Bata,Bata,,shoes,,24.8269105,67.0352501
Service shoes,Service shoes,,shoes,,24.8266818,67.0352921
The Palm,The Palm,community_centre,,,24.8044875,67.0279319
Afridi Inn- Clifton 4,Afridi Inn- Clifton 4,restaurant,,,24.8032546,67.0302029
Seaview Hotel,Seaview Hotel,,,hotel,24.8026402,67.0310723
Paramount Resturant,Paramount Resturant,restaurant,,,24.801174,67.0365253
Cafe Clifton Tea,Cafe Clifton Tea,cafe,,,24.8015532,67.0368867
California Pizza Kitchen,California Pizza Kitchen,restaurant,,,24.8018958,67.037204
MCB Tower,MCB Tower,bank,,,24.8500137,67.0089467
Uni Plaza,Uni Plaza,,mall,,24.8501417,67.0077676
State Bank of Pakistan,State Bank of Pakistan,bank,,,24.8488457,66.9995595
Bank Alfalah,بینک الفلاح,bank,,,24.8488603,67.0001302
National Bank of Pakistan - I.I. Chundrigar Road,National Bank of Pakistan - I.I. Chundrigar Road,bank,,,24.8491817,67.0025148
Pakistan Post,Pakistan Post,post_office,,,24.8503712,67.0127994
Al-Falah,Al-Falah,bank,,,24.8122761,67.0187786
Askari Bank,عسکری بینک,bank,,,24.8119598,67.0169816
Saleeqa Houseware Store,Saleeqa Houseware Store,,houseware,,24.8120401,67.0184215
Cafe Aylanto- Clifton 4,Cafe Aylanto- Clifton 4,restaurant,,,24.8040843,67.0312146
Xanders- Clifton 4,Xanders- Clifton 4,restaurant,,,24.8037548,67.032638
Cafe E Street,Cafe E Street,restaurant,,,24.8074221,67.0347031
Cafe Flo,Cafe Flo,restaurant,,,24.8071438,67.0339346
Head Start School,Head Start School,school,,,24.8091142,67.0347103
Karachi Preschool,Karachi Preschool,kindergarten,,,24.8072924,67.0340256
Zamzama Mall,Zamzama Mall,,mall,,24.8173049,67.0400288
Domino's,Domino's,fast_food,,,24.8172067,67.0403439
Soneri Bank- Zamzama,Soneri Bank- Zamzama,bank,,,24.8172356,67.0402511
Nawab Mughlai Resturant- Zamzama,Nawab Mughlai Resturant- Zamzama,restaurant,,,24.8169575,67.043131
Pantry- Zamzama,Pantry- Zamzama,restaurant,,,24.8182979,67.0394426
Government Girls Degree College,Government Girls Degree College,college,,,24.8159583,67.0397454
Dynasty Event Hall,Dynasty Event Hall,community_centre,,,24.8243199,67.0354584
Arabian Nights,Arabian Nights,restaurant,,,24.825779,67.0341481
Hush Puppies,Hush Puppies,,shoes,,24.8267967,67.0352727
MCB,MCB,bank,,,24.8270901,67.0356195
Chase,Chase,,department_store,,24.8275166,67.0366074
Askari Bank,Askari Bank,bank,,,24.8262847,67.0354311
Damascus,Damascus,restaurant,,,24.8259611,67.0359318
Bayview Junior School,Bayview Junior School,school,,,24.8245438,67.0373332
The Educators School,The Educators School,school,,,24.8253664,67.0414834
Playland amusement park,Playland amusement park,,,theme_park,24.8104302,67.02911
Bank Islami- Zamzama,Bank Islami- Zamzama,bank,,,24.8162933,67.0424604
ChatterBox Cafe- Zamzama,ChatterBox Cafe- Zamzama,cafe,,,24.8172801,67.0422971
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.807879,67.0373471
Abdul Aziz Masjid,Abdul Aziz Masjid,place_of_worship,,,24.8120226,67.0503149
Paras Art Shop,Paras Art Shop,,art,,24.8133804,67.0516485
Pizza Point,Pizza Point,fast_food,,,24.8144018,67.0490736
Rahat Milk Cornor,Rahat Milk Cornor,,dairy,,24.8141275,67.0489281
Habib Metro Bank,Habib Metro Bank,bank,,,24.813945,67.048679
Bank Al Habib,بينک الحبيب,bank,,,24.8133934,67.048187
Hot n Spicy,Hot n Spicy,fast_food,,,24.813607,67.0492136
Siam Express,Siam Express,restaurant,,,24.8118469,67.0501712
La Farina Bakers,La Farina Bakers,,bakery,,24.8117695,67.0500999
Agha Juice,Agha Juice,fast_food,,,24.8123479,67.0506747
Faysal Bank,فیصل بینک,bank,,,24.8128315,67.0510146
Bank Alfalah,بینک الفلاح,bank,,,24.8131145,67.0513212
Lals Patisserie,Lals Patisserie,cafe,,,24.8081908,67.0615442
Bella Vita,Bella Vita,restaurant,,,24.8076277,67.0610049
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.8077149,67.0622328
Ginsoy,Ginsoy,restaurant,,,24.8075036,67.0608835
Meatone,Meatone,,butcher,,24.8076388,67.0621787
Meezan Bank,Meezan Bank,bank,,,24.8003394,67.0573124
Caltex Pump,Caltex Pump,fuel,,,24.8580962,67.0489059
Restaurant Ka Mazza Lain,ریسٹورنٹ کا مزہ لیں,restaurant,,,24.7857163,67.0909581
Samba Bank,Samba Bank,bank,,,24.8449809,66.997046
Allied Bank Limited,الائیڈ بینک لمیٹڈ,bank,,,24.8447629,66.9969897
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.857058,67.0433194
Dunkin Donuts,ڈنکن ڈونٹس,fast_food,,,24.8103886,67.0701985
Hunza Cafe,Hunza Cafe,cafe,,,24.8424221,67.0023801
Soneri Bank Bharia Complex 3,Soneri Bank Bharia Complex 3,bank,,,24.8439472,67.0030269
Arshi Shopping Centre,Arshi Shopping Centre,,mall,,24.9287496,67.0661786
Summit Bank ATM,Summit Bank ATM,atm,,,24.8425355,67.0030548
KPT Guest House,KPT Guest House,,,guest_house,24.8418527,67.0012495
Nehams Fastfood,Nehams Fastfood,fast_food,,,24.8439015,66.9961529
Meezan Bank P.N.S.C Branch,Meezan Bank P.N.S.C Branch,bank,,,24.8447261,66.9949673
NIB,NIB,bank,,,24.8441224,66.9930435
Karoke Studio -Port Grand,Karoke Studio -Port Grand,bar,,,24.8441719,66.9906
European Restaurant -Port Grand,European Restaurant -Port Grand,restaurant,,,24.8429211,66.9898616
Gaffar Kabob House -Port Grand,Gaffar Kabob House -Port Grand,restaurant,,,24.8430519,66.9899207
Bay Side Food Court -Port Grand,Bay Side Food Court -Port Grand,restaurant,,,24.8426208,66.989649
Grand Pier -Port Grand,Grand Pier -Port Grand,restaurant,,,24.8423797,66.9895082
Chai Shai -Port Grand,Chai Shai -Port Grand,cafe,,,24.8420632,66.9893064
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.8532083,66.9942776
Aga Khan School Kharadar,Aga Khan School Kharadar,school,,,24.8540859,66.996117
Meezan Bank,میزان بینک,bank,,,24.8513851,66.9980728
National Bank of Pakistan,نیشنل بینک آف پاکستان,bank,,,24.8516614,66.998211
Faysal Bank Cloth Market Branch,Faysal Bank Cloth Market Branch,bank,,,24.8515494,66.9982874
Bank AlHabib Cloth Market Branch,Bank AlHabib Cloth Market Branch,bank,,,24.8515383,66.9986374
Bank Alfallah Cloth Market Branch,Bank Alfallah Cloth Market Branch,bank,,,24.8507282,66.9981667
Yaadgar Fried Fish,Yaadgar Fried Fish,fast_food,,,24.886001,67.0507366
Usmania Hospital,Usmania Hospital,hospital,,,24.8868015,67.0533003
CNG,سی این جی,fuel,,,24.8839583,67.0481018
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.9025116,67.030855
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.9020647,67.0292754
PSO Car Wash,PSO Car Wash,car_wash,,,24.9024193,67.0307007
PSO Car Wash,PSO Car Wash,car_wash,,,24.9021416,67.0295318
Bata Shoe store,Bata Shoe store,,shoes,,24.8993958,67.0302643
Service Shoes,Service Shoes,,shoes,,24.8994887,67.0302455
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.8999054,67.0305725
Faysal Bank,فیصل بینک,bank,,,24.8956532,67.0304606
Wazeer Patti Wala,Wazeer Patti Wala,clinic,,,24.8927191,67.0309852
Bank Al Habib,بينک الحبيب,bank,,,24.892013,67.031055
National Bank,National Bank,bank,,,24.9021496,67.0298852
Shell,شیل,fuel,,,24.9062772,67.0312699
Ryan CNG Station,Ryan CNG Station,fuel,,,24.9184086,67.0320539
Karachi X-ray,Karachi X-ray,clinic,,,24.9195806,67.0310217
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.9249763,67.0311288
PSO Car Wash,PSO Car Wash,car_wash,,,24.9251554,67.0309469
Dil Pasand,Dil Pasand,,confectionery,,24.9261656,67.032188
Meat One,Meat One,,butcher,,24.9265844,67.0326626
Bata Shoe Store,Bata Shoe Store,,shoes,,24.9266418,67.0327114
Quaid e Azam Rangers Public School & College,Quaid e Azam Rangers Public School & College,school,,,24.9297508,67.0309361
Safi Hospital,Safi Hospital,hospital,,,24.9314545,67.0383043
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.9407335,67.0012119
PSO Car Wash,PSO Car Wash,car_wash,,,24.9409688,67.0014068
Post Office,Post Office,post_office,,,24.9452985,67.0042043
Qadri Fast Food,Qadri Fast Food,fast_food,,,24.8520058,66.9989674
HabibMetro Bank,HabibMetro Bank,bank,,,24.8525871,67.000224
Sarafa Bazar,Sarafa Bazar,marketplace,,,24.8537151,67.001376
"Askari Bank Limited, Jodia Bazar Branch.","Askari Bank Limited, Jodia Bazar Branch.",bank,,,24.8534537,67.0010239
JS Bank,جے ایس بینک,bank,,,24.8538142,67.0022323
MCB Bank,ایم سی بی بینک,bank,,,24.8542835,67.0025314
Joria Bazar,Joria Bazar,marketplace,,,24.8549981,67.0030725
NIB,NIB,bank,,,24.8550572,67.001832
BankIslami,بینک اسلامی,bank,,,24.8551755,67.0022866
Summit Bank,سمٹ بینک,bank,,,24.8553931,67.0017823
Saudi Pak Bank,Saudi Pak Bank,bank,,,24.8547454,67.0019312
Soneri Bank Limited,Soneri Bank Limited,bank,,,24.8547853,67.0015517
Meezan bank,Meezan bank,bank,,,24.8553862,67.0010112
Muhammadi,Muhammadi,place_of_worship,,,24.8537966,66.9992745
Rangoli Resturant,Rangoli Resturant,restaurant,,,24.8873818,67.0895458
Kundan Broast,Kundan Broast,fast_food,,,24.8830176,67.0903745
Merath Kebabs,Merath Kebabs,restaurant,,,24.8830479,67.0903475
Caltex Petrol Pump,Caltex Petrol Pump,fuel,,,24.8886951,67.0607136
New Town Police Station,New Town Police Station,police,,,24.8888121,67.0604742
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.8913416,67.0807186
McDonald's,مکڈونلڈز,fast_food,,,24.8914386,67.0809496
Time Medico,Time Medico,pharmacy,,,24.8914884,67.0811189
Kagzi Bazar,Kagzi Bazar,marketplace,,,24.8542496,66.9992624
New Quetta al-Hafiz Restaurant,New Quetta al-Hafiz Restaurant,restaurant,,,24.8487612,66.9954154
Allied Bank Limited,الائیڈ بینک لمیٹڈ,bank,,,24.8488621,66.9959043
Allied Bank ATM,Allied Bank ATM,atm,,,24.8486723,66.9959767
Zubaida Medical Hospital,Zubaida Medical Hospital,hospital,,,24.883327,67.0822341
Chase Up Jail Chowrangi Branch,Chase Up Jail Chowrangi Branch,,supermarket,,24.8843596,67.0569033
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.8839938,67.0554236
PSO Car Wash,PSO Car Wash,car_wash,,,24.8839321,67.0553211
Medicare Cardiac & General Hospital,Medicare Cardiac & General Hospital,hospital,,,24.8809599,67.0635735
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.8732359,67.0486796
CNG,سی این جی,fuel,,,24.8882558,67.0317882
Allah Wali,Allah Wali,place_of_worship,,,24.8887721,67.0316214
Noman,Noman,place_of_worship,,,24.8874509,67.0335238
Mr Burger,Mr Burger,fast_food,,,24.9015136,67.0291531
Bank Al Habib,بينک الحبيب,bank,,,24.9014661,67.0294056
Fancy Lawn,Fancy Lawn,community_centre,,,24.9019465,67.0260362
Lamcy Lawn,Lamcy Lawn,community_centre,,,24.901984,67.025747
Mini Market,Mini Market,,convenience,,24.9008417,67.030113
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.9036076,67.0171315
Bank Al Habib,بينک الحبيب,bank,,,24.903108,67.0177761
Honda Site,Honda Site,,car,,24.9067884,67.0158159
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.9117913,67.0140423
METRO Supermarket,METRO Supermarket,,supermarket,,24.9197091,67.0149476
Byco Petrol Station and CNG,Byco Petrol Station and CNG,fuel,,,24.9190239,67.0142883
Toyota Clifton Motors,Toyota Clifton Motors,,car,,24.809871,67.033222
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.8657451,67.0802111
Honda Defence,Honda Defence,,car,,24.8312646,67.0809597
Al Arab Shawarma,Al Arab Shawarma,fast_food,,,24.8838022,67.0649733
Honda Drive In Showroom,Honda Drive In Showroom,,car,,24.9033585,67.1140588
Hina Garden,Hina Garden,,,apartment,24.9035688,67.1148334
Lasania Resturant,Lasania Resturant,restaurant,,,24.9076307,67.1093462
Drive-In Wedding Hall,Drive-In Wedding Hall,community_centre,,,24.9019348,67.1114043
Total,ٹوٹل,fuel,,,24.8205224,67.0338808
Shell Convenience Store,Shell Convenience Store,,convenience,,24.8294707,67.0525103
Shell Car Wash,Shell Car Wash,car_wash,,,24.8296406,67.0527261
BankIslami,BankIslami,bank,,,24.8642374,67.0762716
Summit Bank,سمٹ بینک,bank,,,24.8654931,67.0773793
Bank of Khyber,Bank of Khyber,bank,,,24.8659287,67.0787016
Mirch Masala,Mirch Masala,restaurant,,,24.8659465,67.0808729
Habib Metro,Habib Metro,bank,,,24.8661648,67.0794321
Silkbank,Silkbank,bank,,,24.8658622,67.0805515
Shell Car Care,Shell Car Care,car_wash,,,24.8658268,67.0777975
National Saving Centre,National Saving Centre,bank,,,24.8670318,67.0813852
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.8671097,67.0819109
Tameer Microfinance Bank - Head Office,Tameer Microfinance Bank - Head Office,bank,,,24.8674176,67.0813729
National Bank of Pakistan,نیشنل بینک آف پاکستان,bank,,,24.8672108,67.0823225
Siddiq Mosque,Siddiq Mosque,place_of_worship,,,24.8666863,67.0838931
Baloch Hotel,Baloch Hotel,,,hotel,24.8668602,67.0837133
HBL Pakistan,ایچ بی ایل پاکستان,bank,,,24.8676851,67.0833138
Preston University,Preston University,university,,,24.8678908,67.0851644
Honda Shahrah e Faisal,Honda Shahrah e Faisal,,car,,24.8681391,67.0855453
BMW Charging Station,BMW Charging Station,charging_station,,,24.8689756,67.0869656
Blue Moon Banquet,Blue Moon Banquet,community_centre,,,24.8694116,67.0877512
Carachi Motors Suzuki,Carachi Motors Suzuki,,car,,24.8696453,67.0880767
Toyota Central Motors,Toyota Central Motors,,car,,24.8701057,67.0888007
National Bank of Pakistan,نیشنل بینک آف پاکستان,bank,,,24.8707234,67.090038
City Center Shopping Mall,City Center Shopping Mall,,mall,,24.8712183,67.090615
NIB,NIB,bank,,,24.8707022,67.0902906
Majistic Banquet Hall,Majistic Banquet Hall,community_centre,,,24.8723002,67.0911238
Chaupal Restaurant,Chaupal Restaurant,restaurant,,,24.8745668,67.0943188
Rosati Bistro,Rosati Bistro,restaurant,,,24.8747907,67.0946917
Block 2 old Market,Block 2 old Market,marketplace,,,24.8770549,67.1009318
Jama Masjid Diyar E Habib,Jama Masjid Diyar E Habib,place_of_worship,,,24.8773396,67.10201
Shell,شیل,fuel,,,24.8805185,67.1088418
Bakri Petrol Station,Bakri Petrol Station,fuel,,,24.8807124,67.1102746
Total,ٹوٹل,fuel,,,24.8809825,67.1107039
HBL ATM,HBL ATM,atm,,,24.8808676,67.1108707
Faw Apollo Motors,Faw Apollo Motors,,car,,24.8810671,67.1112167
Suzuki Motors,Suzuki Motors,,car,,24.8816578,67.1119002
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.8822543,67.1129113
HBL Pakistan,ایچ بی ایل پاکستان,bank,,,24.8822689,67.1133115
Sigma Motors Limited,Sigma Motors Limited,,car,,24.8827774,67.1138061
Hascol 1 Petrol Station,Hascol 1 Petrol Station,fuel,,,24.8828314,67.1140279
Summit Bank ATM,Summit Bank ATM,atm,,,24.8826388,67.1143174
Pakistan Post Office,Pakistan Post Office,post_office,,,24.8840853,67.1165881
Shell Petrol Station - Drigh Road,Shell Petrol Station - Drigh Road,fuel,,,24.885992,67.1221373
Jamia Masjid,جامع مسجد,place_of_worship,,,24.8872985,67.1271946
Jamia Masjid Hanafia,جامع مسجد حنفیہ,place_of_worship,,,24.8859603,67.126905
BYCO Petrol Station,BYCO Petrol Station,fuel,,,24.8869448,67.1294196
Jamia Masjid Bilal,Jamia Masjid Bilal,place_of_worship,,,24.8862993,67.1306225
Noori Masjid,نوری مسجد,place_of_worship,,,24.8855438,67.1331374
Shri Ram Dev Shiv Santosh Mandir,شری رام دیو شیو سنتوش مندر,place_of_worship,,,24.8852895,67.1323633
Jamia Masjid Qasmia Ferozia,Jamia Masjid Qasmia Ferozia,place_of_worship,,,24.8852829,67.1377813
Natha Khan Eid Prayer Ground,Natha Khan Eid Prayer Ground,place_of_worship,,,24.8874037,67.1378236
National Saving Center,National Saving Center,bank,,,24.8839131,67.1402919
HBL Pakistan,ایچ بی ایل پاکستان,bank,,,24.8833559,67.1401148
Bank Al Habib,بينک الحبيب,bank,,,24.8830269,67.1398692
A 1 Briyani Center,A 1 Briyani Center,restaurant,,,24.8851475,67.1400027
Jamia Masjid Humza,Jamia Masjid Humza,place_of_worship,,,24.8850428,67.1401792
Dubai Islamic Bank,دبئی اسلامی بینک,bank,,,24.8854345,67.1399941
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.8854905,67.1398332
Total,ٹوٹل,fuel,,,24.8865708,67.142392
Sindh Bank,سندھ بینک,bank,,,24.8853202,67.1417215
Meezan Bank,میزان بینک,bank,,,24.8852383,67.1429941
Jamia Masjid Mustufa,Jamia Masjid Mustufa,place_of_worship,,,24.8858019,67.1440738
Shell,شیل,fuel,,,24.8872326,67.1450916
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.8871224,67.1459176
Standard Chartered,اسٹینڈرڈ چارٹرڈ,atm,,,24.8871711,67.146233
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.8866974,67.1464556
Airport Police Station,Airport Police Station,police,,,24.8871814,67.1483399
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.9207083,67.0950383
PIA Office,PIA Office,,travel_agency,,24.9202912,67.0946103
Allied Bank Limited,الائیڈ بینک لمیٹڈ,bank,,,24.9206453,67.094319
Mezaan Bank,Mezaan Bank,bank,,,24.9211368,67.0939053
Hobnob Bakery,Hobnob Bakery,,bakery,,24.9215239,67.0943757
Midway Hospital,Midway Hospital,hospital,,,24.9204202,67.0310582
Abbasi Shaheed Trauma Centre,Abbasi Shaheed Trauma Centre,hospital,,,24.9211529,67.0296122
PC Lawn,PC Lawn,community_centre,,,24.9238608,67.0292172
Cresent Acedemy,Cresent Acedemy,school,,,24.9251622,67.0919365
Madina tul ilm Imam Bargah,Madina tul ilm Imam Bargah,place_of_worship,,,24.9189895,67.0948048
Delux Hot N Roll,Delux Hot N Roll,fast_food,,,24.9202151,67.0955491
Arkhish Resturant,Arkhish Resturant,restaurant,,,24.9208801,67.094884
Jinnah Marriage Hall,Jinnah Marriage Hall,community_centre,,,24.9253737,67.0305047
Sabih,Sabih,place_of_worship,,,24.9257289,67.0301077
Shell,شیل,fuel,,,24.9260986,67.0310143
MCB Bank,ایم سی بی بینک,bank,,,24.9261746,67.0308466
Dip Shop,Dip Shop,ice_cream,,,24.9261399,67.0316795
Dehli Nehari House,Dehli Nehari House,restaurant,,,24.9263914,67.0324829
Fish & Chips,Fish & Chips,fast_food,,,24.926271,67.0323862
Hanif Hospital Diagnostic Centre,Hanif Hospital Diagnostic Centre,hospital,,,24.9249885,67.0332063
Asghar Hospital,Asghar Hospital,hospital,,,24.925186,67.034245
Taimuria Bakery,Taimuria Bakery,,bakery,,24.9258038,67.0339164
Al-Markaz,Al-Markaz,place_of_worship,,,24.9245413,67.0350926
Ali Murtaza,Ali Murtaza,place_of_worship,,,24.9235258,67.0337769
Dunkin Donuts,ڈنکن ڈونٹس,fast_food,,,24.9269387,67.0329501
Habib Metro Bank,Habib Metro Bank,bank,,,24.9271862,67.0331748
Meezan Bank,میزان بینک,bank,,,24.9272513,67.0332224
Bank Alfalah,بینک الفلاح,bank,,,24.9273359,67.0332773
Feroza Banquet,Feroza Banquet,community_centre,,,24.9270307,67.0342276
Meri Kong,Meri Kong,restaurant,,,24.927657,67.0329495
Subway,سب وے,fast_food,,,24.9277518,67.0331265
Kababjees,Kababjees,restaurant,,,24.9279793,67.0338749
Mehran Welfare Complex,Mehran Welfare Complex,community_centre,,,24.928186,67.0326665
Creek Inn,Creek Inn,restaurant,,,24.9284013,67.0321756
Pizza King,Pizza King,restaurant,,,24.9287831,67.0325325
Khanjee,Khanjee,restaurant,,,24.9288367,67.0326263
Sawadee,Sawadee,restaurant,,,24.9286956,67.0324654
Burger Octane,Burger Octane,fast_food,,,24.9284901,67.0321099
Sahto Lounge,Sahto Lounge,cafe,,,24.9255341,67.0920378
HBL Pakistan,ایچ بی ایل پاکستان,bank,,,24.9257076,67.0929342
Hina Medico,Hina Medico,,medical_supply,,24.926051,67.0932988
MCB Bank,ایم سی بی بینک,bank,,,24.9261058,67.0933612
Subhan Allah Stationary,Subhan Allah Stationary,,stationery,,24.9265789,67.0940179
Asif Book store,Asif Book store,,books,,24.9268766,67.094463
Delicacy Bakery,Delicacy Bakery,,bakery,,24.926968,67.0945798
Topman Shoe Store,Topman Shoe Store,,shoes,,24.9272292,67.0949263
Meat One,Meat One,,butcher,,24.9277735,67.0956716
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.9280694,67.0959938
Iqra Book Store,Iqra Book Store,,books,,24.9282886,67.0962819
Red Riding Hood Bakery,Red Riding Hood Bakery,,pastry,,24.9283434,67.0963302
Habib Metro Bank,Habib Metro Bank,bank,,,24.9285279,67.0965437
Sindh Sweets & Bakers,Sindh Sweets & Bakers,,bakery,,24.9286849,67.0967107
Hot n Roll,Hot n Roll,fast_food,,,24.9297065,67.0980468
Nagori Milk Shop,Nagori Milk Shop,,dairy,,24.928883,67.097065
Disco Bakery,Disco Bakery,,bakery,,24.929117,67.097339
Pizza Today,Pizza Today,fast_food,,,24.9296361,67.0978812
Red Apple,Red Apple,fast_food,,,24.9294479,67.0976968
Home Plus Supermarket,Home Plus Supermarket,,supermarket,,24.9293635,67.0975067
Greens Supermarket,Greens Supermarket,,supermarket,,24.929688,67.0979758
Bank Alfalah,بینک الفلاح,bank,,,24.9297983,67.0981118
Subway,سب وے,fast_food,,,24.929967,67.0983026
Sizzler Cafe and Grill,Sizzler Cafe and Grill,restaurant,,,24.9306638,67.099261
Soft Swirl,Soft Swirl,fast_food,,,24.9314204,67.1001201
Oh My Grill,Oh My Grill,fast_food,,,24.9313685,67.1000533
JS Bank,جے ایس بینک,bank,,,24.9315898,67.1003462
Discovery Pharmacy,Discovery Pharmacy,,supermarket,,24.9320195,67.100931
Thirsty,Thirsty,cafe,,,24.9322553,67.1012935
Dunkin Donuts,ڈنکن ڈونٹس,fast_food,,,24.9324586,67.1015487
Pie In the Sky,Pie In the Sky,,bakery,,24.9329106,67.102207
Waheed Kabab House,Waheed Kabab House,restaurant,,,24.9329452,67.1022643
ChopSoy - Gulshan e Iqbal,ChopSoy - Gulshan e Iqbal,restaurant,,,24.9330036,67.1023335
La Farine Bakery,La Farine Bakery,,bakery,,24.933194,67.1025791
Hot Bite,Hot Bite,fast_food,,,24.928763,67.031711
Hi Tea 99,Hi Tea 99,fast_food,,,24.9285659,67.0319698
14 Street Pizza,14 Street Pizza,fast_food,,,24.9280977,67.0322475
Fancy Bakery,Fancy Bakery,,bakery,,24.9283191,67.0322796
Cafe Al Mehran,Cafe Al Mehran,fast_food,,,24.9282497,67.032411
Manahil Food,Manahil Food,restaurant,,,24.9280248,67.032867
Afridi Inn,Afridi Inn,restaurant,,,24.9282291,67.0330735
Nida Fast Food Center,Nida Fast Food Center,fast_food,,,24.9283239,67.0331741
Chai Session,Chai Session,,tea,,24.9278448,67.0329932
Mini Market,Mini Market,,convenience,,24.9283891,67.033218
Pizza King,Pizza King,restaurant,,,24.9285943,67.0329425
Lab Test Clinical Laboratory,Lab Test Clinical Laboratory,clinic,,,24.9284022,67.0342363
Faisal Bank,Faisal Bank,bank,,,24.9281483,67.0351724
Paradise Commerce College,Paradise Commerce College,college,,,24.9288476,67.0358362
Lifeline Hospital,لائف لائن ہسپتال,hospital,,,24.9291492,67.0361313
Meerath Famous Kabab Paratha,Meerath Famous Kabab Paratha,restaurant,,,24.9289295,67.0347351
Dadabhouy Institute,Dadabhouy Institute,college,,,24.9298283,67.0354941
Zamin CNG Station,Zamin CNG Station,fuel,,,24.9305928,67.0362091
Splended Banquet,Splended Banquet,community_centre,,,24.9307582,67.0387035
Beaconhouse School System Primary IV - North Nazimabad,Beaconhouse School System Primary IV - North Nazimabad,school,,,24.9300869,67.038898
Suzuki North Motors,Suzuki North Motors,,car,,24.9299138,67.0392037
KDA Plant Nursery,KDA Plant Nursery,,florist,,24.9320387,67.0380705
Chase Up,Chase Up,,department_store,,24.9320419,67.0386573
Summit Bank,سمٹ بینک,bank,,,24.9339877,67.0403496
Dolman Mall Hyderi,Dolman Mall Hyderi,,mall,,24.9354357,67.0404768
Sindbad-Dolmen Mall Hyderi,Sindbad-Dolmen Mall Hyderi,,,theme_park,24.9355323,67.0405516
Hydri Police Station,Hydri Police Station,police,,,24.9375669,67.0408456
CNG Pump,CNG Pump,fuel,,,24.9262247,67.0896607
Blooming Garden,Blooming Garden,community_centre,,,24.9247654,67.0908667
Hydri Commerical Market,Hydri Commerical Market,marketplace,,,24.937714,67.0417693
Blue Ribbon Bakery,Blue Ribbon Bakery,,bakery,,24.9383017,67.0428019
Mehak Lawn,Mehak Lawn,community_centre,,,24.9259891,67.0906188
Fariya Mall,Fariya Mall,,mall,,24.9255278,67.0902785
Mumtaz Mobile Mall,Mumtaz Mobile Mall,,mall,,24.9258317,67.0900314
Nighat Palace,Nighat Palace,community_centre,,,24.9261325,67.0904916
Kulsoom Banquet,Kulsoom Banquet,community_centre,,,24.9264213,67.090226
Blessing Base Hall,Blessing Base Hall,community_centre,,,24.9265925,67.0900823
Naveed Garden,Naveed Garden,events_venue,,,24.9266695,67.08933
