name,name_original,amenity,shop,tourism,@lat,@lon,final_category
Sindh Bank,سندھ بینک,bank,,,24.8853202,67.1417215,Services
Meezan Bank,میزان بینک,bank,,,24.8852383,67.1429941,Services
Jamia Masjid Mustufa,Jamia Masjid Mustufa,place_of_worship,,,24.8858019,67.1440738,Religious & Community
Shell,شیل,fuel,,,24.8872326,67.1450916,Transport & Vehicles
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.8871224,67.1459176,Transport & Vehicles
Standard Chartered,اسٹینڈرڈ چارٹرڈ,atm,,,24.8871711,67.146233,Services
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.8866974,67.1464556,Transport & Vehicles
Airport Police Station,Airport Police Station,police,,,24.8871814,67.1483399,Services
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.9207083,67.0950383,Services
PIA Office,PIA Office,,travel_agency,,24.9202912,67.0946103,Services
Allied Bank Limited,الائیڈ بینک لمیٹڈ,bank,,,24.9206453,67.094319,Services
Mezaan Bank,Mezaan Bank,bank,,,24.9211368,67.0939053,Services
Hobnob Bakery,Hobnob Bakery,,bakery,,24.9215239,67.0943757,Food & Dining
Midway Hospital,Midway Hospital,hospital,,,24.9204202,67.0310582,Healthcare
Abbasi Shaheed Trauma Centre,Abbasi Shaheed Trauma Centre,hospital,,,24.9211529,67.0296122,Healthcare
PC Lawn,PC Lawn,community_centre,,,24.9238608,67.0292172,Religious & Community
Cresent Acedemy,Cresent Acedemy,school,,,24.9251622,67.0919365,Education
Madina tul ilm Imam Bargah,Madina tul ilm Imam Bargah,place_of_worship,,,24.9189895,67.0948048,Religious & Community
Delux Hot N Roll,Delux Hot N Roll,fast_food,,,24.9202151,67.0955491,Food & Dining
Arkhish Resturant,Arkhish Resturant,restaurant,,,24.9208801,67.094884,Food & Dining
Jinnah Marriage Hall,Jinnah Marriage Hall,community_centre,,,24.9253737,67.0305047,Religious & Community
Sabih,Sabih,place_of_worship,,,24.9257289,67.0301077,Religious & Community
Shell,شیل,fuel,,,24.9260986,67.0310143,Transport & Vehicles
MCB Bank,ایم سی بی بینک,bank,,,24.9261746,67.0308466,Services
Dip Shop,Dip Shop,ice_cream,,,24.9261399,67.0316795,Food & Dining
Dehli Nehari House,Dehli Nehari House,restaurant,,,24.9263914,67.0324829,Food & Dining
Fish & Chips,Fish & Chips,fast_food,,,24.926271,67.0323862,Food & Dining
Hanif Hospital Diagnostic Centre,Hanif Hospital Diagnostic Centre,hospital,,,24.9249885,67.0332063,Healthcare
Asghar Hospital,Asghar Hospital,hospital,,,24.925186,67.034245,Healthcare
Taimuria Bakery,Taimuria Bakery,,bakery,,24.9258038,67.0339164,Food & Dining
Al-Markaz,Al-Markaz,place_of_worship,,,24.9245413,67.0350926,Religious & Community
Ali Murtaza,Ali Murtaza,place_of_worship,,,24.9235258,67.0337769,Religious & Community
Dunkin Donuts,ڈنکن ڈونٹس,fast_food,,,24.9269387,67.0329501,Food & Dining
Habib Metro Bank,Habib Metro Bank,bank,,,24.9271862,67.0331748,Services
Meezan Bank,میزان بینک,bank,,,24.927251300000002,67.0332224,Services
Bank Alfalah,بینک الفلاح,bank,,,24.9273359,67.0332773,Services
Feroza Banquet,Feroza Banquet,community_centre,,,24.9270307,67.0342276,Religious & Community
Meri Kong,Meri Kong,restaurant,,,24.927657,67.0329495,Food & Dining
Subway,سب وے,fast_food,,,24.9277518,67.0331265,Food & Dining
Kababjees,Kababjees,restaurant,,,24.9279793,67.0338749,Food & Dining
Mehran Welfare Complex,Mehran Welfare Complex,community_centre,,,24.928186,67.0326665,Religious & Community
Creek Inn,Creek Inn,restaurant,,,24.9284013,67.0321756,Food & Dining
Pizza King,Pizza King,restaurant,,,24.9287831,67.0325325,Food & Dining
Khanjee,Khanjee,restaurant,,,24.9288367,67.0326263,Food & Dining
Sawadee,Sawadee,restaurant,,,24.9286956,67.0324654,Food & Dining
Burger Octane,Burger Octane,fast_food,,,24.9284901,67.0321099,Food & Dining
Sahto Lounge,Sahto Lounge,cafe,,,24.9255341,67.0920378,Food & Dining
HBL Pakistan,ایچ بی ایل پاکستان,bank,,,24.9257076,67.0929342,Services
Hina Medico,Hina Medico,,medical_supply,,24.926051,67.0932988,Healthcare
MCB Bank,ایم سی بی بینک,bank,,,24.9261058,67.0933612,Services
Subhan Allah Stationary,Subhan Allah Stationary,,stationery,,24.9265789,67.0940179,Other / Unspecified
Asif Book store,Asif Book store,,books,,24.9268766,67.094463,Shopping & Retail
Delicacy Bakery,Delicacy Bakery,,bakery,,24.926968,67.0945798,Food & Dining
Topman Shoe Store,Topman Shoe Store,,shoes,,24.9272292,67.0949263,Shopping & Retail
Meat One,Meat One,,butcher,,24.9277735,67.0956716,Food & Dining
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.9280694,67.0959938,Services
Iqra Book Store,Iqra Book Store,,books,,24.9282886,67.0962819,Shopping & Retail
Red Riding Hood Bakery,Red Riding Hood Bakery,,pastry,,24.9283434,67.0963302,Food & Dining
Habib Metro Bank,Habib Metro Bank,bank,,,24.9285279,67.0965437,Services
Sindh Sweets & Bakers,Sindh Sweets & Bakers,,bakery,,24.9286849,67.0967107,Food & Dining
Hot n Roll,Hot n Roll,fast_food,,,24.9297065,67.0980468,Food & Dining
Nagori Milk Shop,Nagori Milk Shop,,dairy,,24.928883,67.097065,Food & Dining
Disco Bakery,Disco Bakery,,bakery,,24.929117,67.097339,Food & Dining
Pizza Today,Pizza Today,fast_food,,,24.9296361,67.0978812,Food & Dining
Red Apple,Red Apple,fast_food,,,24.9294479,67.0976968,Food & Dining
Home Plus Supermarket,Home Plus Supermarket,,supermarket,,24.9293635,67.0975067,Shopping & Retail
Greens Supermarket,Greens Supermarket,,supermarket,,24.929688,67.0979758,Shopping & Retail
Bank Alfalah,بینک الفلاح,bank,,,24.9297983,67.0981118,Services
Subway,سب وے,fast_food,,,24.929967,67.0983026,Food & Dining
Sizzler Cafe and Grill,Sizzler Cafe and Grill,restaurant,,,24.9306638,67.099261,Food & Dining
Soft Swirl,Soft Swirl,fast_food,,,24.9314204,67.1001201,Food & Dining
Oh My Grill,Oh My Grill,fast_food,,,24.9313685,67.1000533,Food & Dining
JS Bank,جے ایس بینک,bank,,,24.9315898,67.1003462,Services
Discovery Pharmacy,Discovery Pharmacy,,supermarket,,24.9320195,67.100931,Shopping & Retail
Thirsty,Thirsty,cafe,,,24.9322553,67.1012935,Food & Dining
Dunkin Donuts,ڈنکن ڈونٹس,fast_food,,,24.9324586,67.1015487,Food & Dining
Pie In the Sky,Pie In the Sky,,bakery,,24.9329106,67.102207,Food & Dining
Waheed Kabab House,Waheed Kabab House,restaurant,,,24.9329452,67.1022643,Food & Dining
ChopSoy - Gulshan e Iqbal,ChopSoy - Gulshan e Iqbal,restaurant,,,24.9330036,67.1023335,Food & Dining
La Farine Bakery,La Farine Bakery,,bakery,,24.933194,67.1025791,Food & Dining
Hot Bite,Hot Bite,fast_food,,,24.928763,67.031711,Food & Dining
Hi Tea 99,Hi Tea 99,fast_food,,,24.9285659,67.0319698,Food & Dining
14 Street Pizza,14 Street Pizza,fast_food,,,24.9280977,67.0322475,Food & Dining
Fancy Bakery,Fancy Bakery,,bakery,,24.9283191,67.0322796,Food & Dining
Cafe Al Mehran,Cafe Al Mehran,fast_food,,,24.9282497,67.032411,Food & Dining
Manahil Food,Manahil Food,restaurant,,,24.9280248,67.032867,Food & Dining
Afridi Inn,Afridi Inn,restaurant,,,24.9282291,67.0330735,Food & Dining
Nida Fast Food Center,Nida Fast Food Center,fast_food,,,24.9283239,67.0331741,Food & Dining
Chai Session,Chai Session,,tea,,24.9278448,67.0329932,Food & Dining
Mini Market,Mini Market,,convenience,,24.9283891,67.033218,Shopping & Retail
Pizza King,Pizza King,restaurant,,,24.9285943,67.0329425,Food & Dining
Lab Test Clinical Laboratory,Lab Test Clinical Laboratory,clinic,,,24.9284022,67.0342363,Healthcare
Faisal Bank,Faisal Bank,bank,,,24.9281483,67.0351724,Services
Paradise Commerce College,Paradise Commerce College,college,,,24.9288476,67.0358362,Education
Lifeline Hospital,لائف لائن ہسپتال,hospital,,,24.9291492,67.0361313,Healthcare
Meerath Famous Kabab Paratha,Meerath Famous Kabab Paratha,restaurant,,,24.9289295,67.0347351,Food & Dining
Dadabhouy Institute,Dadabhouy Institute,college,,,24.9298283,67.0354941,Education
Zamin CNG Station,Zamin CNG Station,fuel,,,24.9305928,67.0362091,Transport & Vehicles
Splended Banquet,Splended Banquet,community_centre,,,24.9307582,67.0387035,Religious & Community
Beaconhouse School System Primary IV - North Nazimabad,Beaconhouse School System Primary IV - North Nazimabad,school,,,24.9300869,67.038898,Education
Suzuki North Motors,Suzuki North Motors,,car,,24.9299138,67.0392037,Transport & Vehicles
KDA Plant Nursery,KDA Plant Nursery,,florist,,24.9320387,67.0380705,Other / Unspecified
Chase Up,Chase Up,,department_store,,24.9320419,67.0386573,Other / Unspecified
Summit Bank,سمٹ بینک,bank,,,24.9339877,67.0403496,Services
Dolman Mall Hyderi,Dolman Mall Hyderi,,mall,,24.9354357,67.0404768,Shopping & Retail
Sindbad-Dolmen Mall Hyderi,Sindbad-Dolmen Mall Hyderi,,,theme_park,24.9355323,67.0405516,Entertainment & Leisure
Hydri Police Station,Hydri Police Station,police,,,24.9375669,67.0408456,Services
CNG Pump,CNG Pump,fuel,,,24.9262247,67.0896607,Transport & Vehicles
Blooming Garden,Blooming Garden,community_centre,,,24.9247654,67.0908667,Religious & Community
Hydri Commerical Market,Hydri Commerical Market,marketplace,,,24.937714,67.0417693,Shopping & Retail
Blue Ribbon Bakery,Blue Ribbon Bakery,,bakery,,24.9383017,67.0428019,Food & Dining
Mehak Lawn,Mehak Lawn,community_centre,,,24.9259891,67.0906188,Religious & Community
Fariya Mall,Fariya Mall,,mall,,24.9255278,67.0902785,Shopping & Retail
Mumtaz Mobile Mall,Mumtaz Mobile Mall,,mall,,24.9258317,67.0900314,Shopping & Retail
Nighat Palace,Nighat Palace,community_centre,,,24.9261325,67.09049160000001,Religious & Community
Kulsoom Banquet,Kulsoom Banquet,community_centre,,,24.9264213,67.090226,Religious & Community
Blessing Base Hall,Blessing Base Hall,community_centre,,,24.9265925,67.0900823,Religious & Community
Naveed Garden,Naveed Garden,events_venue,,,24.9266695,67.08933,Entertainment & Leisure
Delhi Kebab House,Delhi Kebab House,restaurant,,,24.927555,67.0897289,Food & Dining
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.9280595,67.0888152,Transport & Vehicles
HBL Pakistan,ایچ بی ایل پاکستان,bank,,,24.9212938,67.0898259,Services
Nando's,Nando's,fast_food,,,24.939827,67.0444085,Food & Dining
Mr. Burger,Mr. Burger,fast_food,,,24.8084837,67.0683664,Food & Dining
Taimuria Library,Taimuria Library,library,,,24.9428584,67.0486103,Education
Askari Bank,عسکری بینک,bank,,,24.9443297,67.0484596,Services
Dr Essa Laboratory & Diagnostic Centre,Dr Essa Laboratory & Diagnostic Centre,clinic,,,24.941071,67.0494215,Healthcare
Broadway Pizza,Broadway Pizza,restaurant,,,24.9412449,67.0490889,Food & Dining
MediComplex Hospital,MediComplex Hospital,hospital,,,24.9416803,67.0492284,Healthcare
Silkbank,Silkbank,bank,,,24.941842,67.0489521,Services
Masjid Al Aziz,Masjid Al Aziz,place_of_worship,,,24.9425969,67.0487584,Religious & Community
Karachi Public School,Karachi Public School,school,,,24.9432319,67.0492525,Education
Perl Banquet,Perl Banquet,community_centre,,,24.944111,67.0493725,Religious & Community
Al Massad Banquet,Al Massad Banquet,community_centre,,,24.9445244,67.049732,Religious & Community
The City School,The City School,school,,,24.9451645,67.049162,Education
Remedial Center - Hospital & Nursing Home,Remedial Center - Hospital & Nursing Home,hospital,,,24.9457973,67.0496945,Healthcare
North Marriage Banquet,North Marriage Banquet,community_centre,,,24.9467488,67.0506028,Religious & Community
Bank Al Habib,بينک الحبيب,bank,,,24.9470097,67.0508629,Services
Sky View Banquet,Sky View Banquet,community_centre,,,24.9454255,67.0505501,Religious & Community
Kangan Banquet,Kangan Banquet,community_centre,,,24.9456674,67.05077,Religious & Community
Casamento Banquet,Casamento Banquet,community_centre,,,24.9449974,67.0501933,Religious & Community
Caspia Banquet,Caspia Banquet,community_centre,,,24.9447531,67.0499198,Religious & Community
Child Development Center Campus 2,Child Development Center Campus 2,school,,,24.9455082,67.0516069,Education
Alvi's Skin and Laser Complex (Dr Khurshid H Alvi),Alvi's Skin and Laser Complex (Dr Khurshid H Alvi),hospital,,,24.9464177,67.0531585,Healthcare
Madras Bakery,Madras Bakery,,bakery,,24.9465795,67.0533262,Food & Dining
Khas Meat,Khas Meat,,butcher,,24.9462231,67.0535461,Food & Dining
Chai Club,Chai Club,cafe,,,24.9409081,67.0496965,Food & Dining
Cool Inn Ice Cream,Cool Inn Ice Cream,ice_cream,,,24.9403668,67.050373,Food & Dining
Char Coal,Char Coal,restaurant,,,24.9401334,67.0507324,Food & Dining
Amul Ice Cream,Amul Ice Cream,ice_cream,,,24.939895,67.0510596,Food & Dining
Agha Juice,Agha Juice,,juice,,24.9398871,67.0516346,Food & Dining
Crown Bakery,Crown Bakery,,bakery,,24.9400117,67.0514499,Food & Dining
Baba Rabri,Baba Rabri,restaurant,,,24.9399681,67.0515169,Food & Dining
Burshum,Burshum,restaurant,,,24.9399011,67.0516002,Food & Dining
Quetta Bismillah Restaurant,Quetta Bismillah Restaurant,restaurant,,,24.9399296,67.0515753,Food & Dining
Walk n Roll Fast Food,Walk n Roll Fast Food,fast_food,,,24.9398519,67.0516819,Food & Dining
Donisil Snacks,Donisil Snacks,fast_food,,,24.9397728,67.0511837,Food & Dining
Rock N Roll Bar B Q,Rock N Roll Bar B Q,fast_food,,,24.9396895,67.051289,Food & Dining
Agha Rajab Juice,Agha Rajab Juice,,juice,,24.9395047,67.0514781,Food & Dining
Bank Alfalah,بینک الفلاح,bank,,,24.9394378,67.0516558,Services
Bank Al Habib,بينک الحبيب,bank,,,24.9397284,67.0518509,Services
Donar King,Donar King,restaurant,,,24.9393503,67.0517611,Food & Dining
K&N,K&N,,Chicken,,24.9393166,67.0517838,Other / Unspecified
Sweet Sensation,Sweet Sensation,,bakery,,24.9392826,67.0518335,Food & Dining
Karachi Haleem,Karachi Haleem,restaurant,,,24.9392437,67.0518912,Food & Dining
Hobnob,Hobnob,,bakery,,24.9391975,67.0519166,Food & Dining
Quetta Bismillah Hotel,Quetta Bismillah Hotel,,tea,,24.9393531,67.0523565,Food & Dining
Life Ken Medicos,Life Ken Medicos,pharmacy,,,24.9394893,67.0523551,Healthcare
Allied Bank Limited,الائیڈ بینک لمیٹڈ,bank,,,24.9388613,67.0530379,Services
Qadri BBQ & Roll,Qadri BBQ & Roll,restaurant,,,24.939206,67.0525658,Food & Dining
Al Shifa Medical Store,Al Shifa Medical Store,pharmacy,,,24.9392437,67.0524932,Healthcare
HBL Pakistan,ایچ بی ایل پاکستان,bank,,,24.9391598,67.0526328,Services
Spicy Tonight,Spicy Tonight,restaurant,,,24.938934,67.0523163,Food & Dining
Faysal bank,Faysal bank,bank,,,24.9207525,67.0866485,Services
Mr chef,Mr chef,restaurant,,,24.920849,67.0867779,Food & Dining
Pizza point,Pizza point,restaurant,,,24.9210738,67.0870964,Food & Dining
statenaoiry shop,statenaoiry shop,,gift,,24.9205393,67.0867805,Other / Unspecified
Manis motors,Manis motors,,toys,,24.9206634,67.086927,Other / Unspecified
Time collegiate campus 2,Time collegiate campus 2,college,,,24.9199404,67.0855242,Education
S m public bschool,S m public bschool,college,,,24.9189681,67.0849428,Education
Bank lslami gulshan,Bank lslami gulshan,bank,,,24.9189996,67.0842069,Services
Meezan bank ltd,Meezan bank ltd,bank,,,24.9347543,67.1051493,Services
Papa pizzario,Papa pizzario,restaurant,,,24.9346592,67.105357,Food & Dining
Bovichic,Bovichic,restaurant,,,24.9344933,67.105447,Food & Dining
Bank Al Habib Limited,Bank Al Habib Limited,bank,,,24.9347309,67.1051053,Services
Blue Ribbon Bakery,Blue Ribbon Bakery,restaurant,,,24.9346337,67.1049924,Food & Dining
Bismillah Biryani,Bismillah Biryani,restaurant,,,24.9346112,67.1049513,Food & Dining
Rock & Roll,Rock & Roll,restaurant,,,24.9345572,67.1048866,Food & Dining
MashaAllah Karachi,MashaAllah Karachi,restaurant,,,24.9345019,67.104831,Food & Dining
Agha Haiber Juice,Agha Haiber Juice,restaurant,,,24.9344221,67.1047222,Food & Dining
Biryani Puls,Biryani Puls,restaurant,,,24.9347134,67.1045394,Food & Dining
Manpasand,Manpasand,restaurant,,,24.9349555,67.1048419,Food & Dining
Quetta Kaker Hotel And LceDepot,Quetta Kaker Hotel And LceDepot,cafe,,,24.9347166,67.1044753,Food & Dining
Mah Health & Beauty Parlor,Mah Health & Beauty Parlor,,beauty,,24.9378934,67.0536924,Services
Winsor Public School,Winsor Public School,school,,,24.9362975,67.0550074,Education
D Lounge,D Lounge,cafe,,,24.9374906,67.054138,Food & Dining
DFC,DFC,cafe,,,24.9371197,67.053784,Food & Dining
Chicago Burger Factroy,Chicago Burger Factroy,fast_food,,,24.937369,67.0541421,Food & Dining
Quetta MashALLAH Restaurant,Quetta MashALLAH Restaurant,restaurant,,,24.9376779,67.053965,Food & Dining
Apple Banquet,Apple Banquet,community_centre,,,24.9347693,67.0537792,Religious & Community
New Karachi Foods,New Karachi Foods,restaurant,,,24.9321031,67.0519158,Food & Dining
Munawar Hospital,Munawar Hospital,hospital,,,24.9318047,67.0517254,Healthcare
Hamza Nagori Milk Shop,Hamza Nagori Milk Shop,,dairy,,24.9351124,67.0452807,Food & Dining
Amber Store,Amber Store,,supermarket,,24.9343892,67.1041064,Shopping & Retail
Cello,Cello,,art,,24.9342924,67.1039734,Other / Unspecified
Nadeem Pakwan,Nadeem Pakwan,restaurant,,,24.9341453,67.1037793,Food & Dining
Al Jannat Zaiqa,Al Jannat Zaiqa,restaurant,,,24.933628,67.103588,Food & Dining
Al Farid Biryani Center,Al Farid Biryani Center,restaurant,,,24.9341136,67.1036698,Food & Dining
Ahmed AttariMedical Store,Ahmed AttariMedical Store,clinic,,,24.9326307,67.0945634,Healthcare
Sailani Medical & Super Store,Sailani Medical & Super Store,clinic,,,24.9324404,67.0942556,Healthcare
Ldeal Bakery,Ldeal Bakery,restaurant,,,24.9327242,67.0946963,Food & Dining
Quetta Hotel,Quetta Hotel,cafe,,,24.9330715,67.0941962,Food & Dining
Al Makkah Super Store,Al Makkah Super Store,,supermarket,,24.9333807,67.0954902,Shopping & Retail
Madina Masjid,Madina Masjid,place_of_worship,,,24.9338053,67.0928984,Religious & Community
Adamjee Convention High School,Adamjee Convention High School,school,,,24.9333461,67.0940625,Education
Ghousia Masjid,Ghousia Masjid,place_of_worship,,,24.9349284,67.092482,Religious & Community
Hopes Medical Store At Cardio,Hopes Medical Store At Cardio,hospital,,,24.9339756,67.0801691,Healthcare
Kkf  Medical Store,Kkf  Medical Store,hospital,,,24.93391,67.0802118,Healthcare
Agha Khan Diagnostic Center,Agha Khan Diagnostic Center,hospital,,,24.9384972,67.0337553,Healthcare
Ilyas Biryani,Ilyas Biryani,restaurant,,,24.9371966,67.0332363,Food & Dining
Habib Restaurant,Habib Restaurant,restaurant,,,24.9371918,67.0336091,Food & Dining
Chicken Corn Soup,Chicken Corn Soup,restaurant,,,24.9370994,67.033483,Food & Dining
Rahmaniya,Rahmaniya,place_of_worship,,,24.9360024,67.0334267,Religious & Community
Mumtaz Hospital,Mumtaz Hospital,hospital,,,24.9495187,67.0529808,Healthcare
Hasrat Mohani Libary,Hasrat Mohani Libary,library,,,24.936123,67.0307233,Education
Bilal Masjid,مسجد بلال,place_of_worship,,,24.9360136,67.0294841,Religious & Community
SKB School,SKB School,school,,,24.9352985,67.0278882,Education
Taj Bakery,Taj Bakery,,bakery,,24.9342412,67.0284408,Food & Dining
HBL Pakistan,ایچ بی ایل پاکستان,bank,,,24.9332064,67.0267456,Services
Government Girls Degree College,Government Girls Degree College,college,,,24.9429028,67.0274805,Education
Nizari Jamat Khana,Nizari Jamat Khana,place_of_worship,,,24.9392507,67.0342669,Religious & Community
Bilal Masjid,مسجد بلال,place_of_worship,,,24.9384001,67.0382119,Religious & Community
Ashraf,Ashraf,place_of_worship,,,24.9407372,67.0373783,Religious & Community
Technical Training College,Technical Training College,college,,,24.9394147,67.0393953,Education
Cafe Shah Jee Tea Specialist,Cafe Shah Jee Tea Specialist,restaurant,,,24.8918354,67.0534917,Food & Dining
Mulla Nahari Resturant,Mulla Nahari Resturant,restaurant,,,24.8917722,67.0536419,Food & Dining
Hafiz Sweet Bakery,Hafiz Sweet Bakery,,bakery,,24.8919632,67.0538039,Food & Dining
Pak Juice Roll & Fastfood Corner,Pak Juice Roll & Fastfood Corner,restaurant,,,24.8921829,67.0537995,Food & Dining
Nib Bank,Nib Bank,bank,,,24.8923851,67.0539386,Services
Marhada Bakery,Marhada Bakery,,bakery,,24.8924529,67.054011,Food & Dining
HBL Pakistan,ایچ بی ایل پاکستان,bank,,,24.8924211,67.0541207,Services
UBL Pib Branch,UBL Pib Branch,bank,,,24.8925926,67.054123,Services
J S mini,J S mini,,convenience,,24.8925545,67.0542257,Shopping & Retail
Karachi Kitchen,Karachi Kitchen,restaurant,,,24.8923258,67.0540413,Food & Dining
Meezan Bank,میزان بینک,bank,,,24.8927493,67.0543868,Services
Bank Al Habib,بينک الحبيب,bank,,,24.8931093,67.0545129,Services
Fine Bakery,Fine Bakery,,bakery,,24.8932334,67.0548042,Food & Dining
Star Book Store,Star Book Store,,books,,24.8931339,67.0546884,Shopping & Retail
Fancy Book Store,Fancy Book Store,,books,,24.893379,67.0549423,Shopping & Retail
Faizan E Attar Masjid,Faizan E Attar Masjid,place_of_worship,,,24.8951563,67.0566732,Religious & Community
Meena Bazaar,Meena Bazaar,marketplace,,,24.895261,67.0564086,Shopping & Retail
Muhammadi Masjid,Muhammadi Masjid,place_of_worship,,,24.896357,67.054167,Religious & Community
Ahmed Raza Masjid,Ahmed Raza Masjid,place_of_worship,,,24.8966113,67.053181,Religious & Community
Rex Banquet,Rex Banquet,community_centre,,,24.9396359,67.0442484,Religious & Community
Florence Medical Centre,Florence Medical Centre,clinic,,,24.9419766,67.0481255,Healthcare
Pizza Max,Pizza Max,restaurant,,,24.9399271,67.0510112,Food & Dining
St. George School,St. George School,school,,,24.9424338,67.0514755,Education
Aamir Palace,Aamir Palace,community_centre,,,24.9438291,67.0479641,Religious & Community
Grand Banquet,Grand Banquet,community_centre,,,24.9439968,67.048116,Religious & Community
The Beginners School,The Beginners School,school,,,24.9448016,67.0449882,Education
National Girls Govt. School,National Girls Govt. School,school,,,24.9420182,67.043547,Education
Arsha e Syed Banquet,Arsha e Syed Banquet,community_centre,,,24.9443262,67.0495492,Religious & Community
Elegant Banquet,Elegant Banquet,community_centre,,,24.9445353,67.0486943,Religious & Community
Galaxy Green Banquet,Galaxy Green Banquet,community_centre,,,24.9459391,67.0498783,Religious & Community
Saffron Banquet,Saffron Banquet,community_centre,,,24.9461255,67.0500527,Religious & Community
Baba Habbash Banquet,Baba Habbash Banquet,community_centre,,,24.9460781,67.051105,Religious & Community
New Hyderi Market,New Hyderi Market,marketplace,,,24.94792,67.0531326,Shopping & Retail
Emerald Banquet,Emerald Banquet,community_centre,,,24.9496404,67.0543077,Religious & Community
Badri High School,Badri High School,school,,,24.9356594,67.0358662,Education
Ibrahim Ali Bhai Govt School,Ibrahim Ali Bhai Govt School,school,,,24.9460551,67.0467576,Education
Govt Comprehensive Grils Secondary School,Govt Comprehensive Grils Secondary School,school,,,24.9451202,67.058481,Education
Madni Masjid,Madni Masjid,place_of_worship,,,24.9495027,67.0601119,Religious & Community
Jama Masjid Rehmat e Alam,Jama Masjid Rehmat e Alam,place_of_worship,,,24.9383693,67.0571935,Religious & Community
Government School,Government School,school,,,24.9380434,67.0571656,Education
Iqbal Market,Iqbal Market,marketplace,,,24.9350091,67.0436442,Shopping & Retail
Smart Super Store,Smart Super Store,,convenience,,24.9374712,67.0543467,Shopping & Retail
Chop Soy,Chop Soy,restaurant,,,24.9387924,67.0525747,Food & Dining
Usman,Usman,place_of_worship,,,24.9359295,67.0541057,Religious & Community
Rafah e Aam Medical Centre,Rafah e Aam Medical Centre,hospital,,,24.9381866,67.0662705,Healthcare
Imam Shah Ahmed Noori,Imam Shah Ahmed Noori,place_of_worship,,,24.9376776,67.0655593,Religious & Community
Optical Corner,Optical Corner,,optician,,24.9379302,67.0536523,Services
MCB Bank,ایم سی بی بینک,bank,,,24.9393938,67.0517088,Services
Master Cakes,Master Cakes,,bakery,,24.9389813,67.0522623,Food & Dining
Pizza Point,Pizza Point,restaurant,,,24.9390893,67.0521472,Food & Dining
Family Mart,Family Mart,,convenience,,24.9402318,67.0505945,Shopping & Retail
Bank Al Habb,Bank Al Habb,bank,,,24.8113123,67.0182986,Services
Clifton Medico,Clifton Medico,pharmacy,,,24.8113784,67.0181121,Healthcare
Medicine Brand Pharmacy,Medicine Brand Pharmacy,pharmacy,,,24.8114363,67.0180494,Healthcare
Ali Clinic,Ali Clinic,clinic,,,24.8116334,67.0176635,Healthcare
Drug Mart Pharmacy UK,Drug Mart Pharmacy UK,pharmacy,,,24.8115723,67.0176978,Healthcare
Shades z,Shades z,,beauty,,24.8110717,67.0170602,Services
Shell Car service,Shell Car service,car_wash,,,24.8157504,67.0188409,Transport & Vehicles
Port Grand Mosque,Port Grand Mosque,place_of_worship,,,24.8458806,66.9927417,Religious & Community
Arafat Hotel,Arafat Hotel,,,hotel,24.8589057,67.0246733,Accommodation
Khalid Sweets n Bakers,Khalid Sweets n Bakers,,bakery,,24.883146,67.0659996,Food & Dining
Village Inn,Village Inn,restaurant,,,24.9099485,67.0106047,Food & Dining
FBL Offsite ATM,FBL Offsite ATM,bank,,,24.9198665,67.0169429,Services
Sindh Social Scurity Hospital,Sindh Social Scurity Hospital,hospital,,,24.926006,67.0152528,Healthcare
Euro Classic,Euro Classic,,,apartment,24.9347802,67.0410466,Accommodation
Kulsum Bai Valika Hospital,Kulsum Bai Valika Hospital,hospital,,,24.9272234,67.0155671,Healthcare
Bilal Masjid,مسجد بلال,place_of_worship,,,24.9301054,67.0208756,Religious & Community
Paposh Qabristan,Paposh Qabristan,grave_yard,,,24.9263518,67.0227357,Other / Unspecified
State Bank of Pakistan,State Bank of Pakistan,bank,,,24.9299722,67.0253428,Services
Nazimabad Eid Gah Ground,Nazimabad Eid Gah Ground,place_of_worship,,,24.9116234,67.0298084,Religious & Community
Dalmia Police Chowki,Dalmia Police Chowki,police,,,24.9042129,67.1023358,Services
Kashif Iqbal Thalassemia Care Center,Kashif Iqbal Thalassemia Care Center,hospital,,,24.9006702,67.1059825,Healthcare
Peer Bazar,Peer Bazar,marketplace,,,24.9017489,67.1059366,Shopping & Retail
Muhammadi Masjid,Muhammadi Masjid,place_of_worship,,,24.9026634,67.1078701,Religious & Community
Ideal Foods,Ideal Foods,fast_food,,,24.9027441,67.1069575,Food & Dining
Good Eat Fast Foods,Good Eat Fast Foods,fast_food,,,24.9102671,67.1063432,Food & Dining
Broadway Pizza,Broadway Pizza,fast_food,,,24.91008,67.1065959,Food & Dining
Food Factory Tabaq,Food Factory Tabaq,,confectionery,,24.9095361,67.106059,Other / Unspecified
Raees Pappu Work Shop,Raees Pappu Work Shop,,car_repair,,24.909752,67.1065658,Transport & Vehicles
Ali Clinic,Ali Clinic,clinic,,,24.9094543,67.106765,Healthcare
Argenta Leather,Argenta Leather,,leather,,24.9094241,67.1073779,Other / Unspecified
Catch Interior,Catch Interior,,interior_decoration,,24.9095093,67.107259,Other / Unspecified
